reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,insturctions.started,key_instruct.started,insturctions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,trial.started,polygon.started,choice.started,polygon.stopped,trial.stopped,response.keys,response.rt,response.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
1,165,122,0,49,49,7,161.9478228330845,,,,,,,,161.93443095800467,161.9478228330845,162.93488929106388,162.94268229103182,164.81089070800226,l,1.8655440419679508,None,muskan_final,001,2023-11-23_14h57.08.258,experiment,2023.2.2,119.99700097411905,2023-11-23 14h59.41.885205 +0530,
52,79,91,0,50,50,47,164.82586229103617,,,,,,,,164.8116264999844,164.82586229103617,165.80953108298127,165.81605695805047,168.12764733307995,t,2.3080065000103787,None,muskan_final,001,2023-11-23_14h57.08.258,experiment,2023.2.2,119.99700097411905,2023-11-23 14h59.41.885205 +0530,
33,72,55,0,51,51,52,168.142998041003,,,,,,,,168.12835320807062,168.142998041003,169.1261560000712,169.13245300005656,170.61093804100528,l,1.4696962089510635,None,muskan_final,001,2023-11-23_14h57.08.258,experiment,2023.2.2,119.99700097411905,2023-11-23 14h59.41.885205 +0530,
20,21,83,0,52,52,81,170.62584304099437,,,,,,,,170.61167500005104,170.62584304099437,171.6096947910264,171.6164338750532,172.96718875004444,t,1.347950541996397,None,muskan_final,001,2023-11-23_14h57.08.258,experiment,2023.2.2,119.99700097411905,2023-11-23 14h59.41.885205 +0530,
79,150,86,0,53,53,43,172.98141612508334,,,,,,,,172.96779237501323,172.98141612508334,173.96813699998893,173.97631683305372,174.96760575007647,l,0.9944831670727581,None,muskan_final,001,2023-11-23_14h57.08.258,experiment,2023.2.2,119.99700097411905,2023-11-23 14h59.41.885205 +0530,
32,76,87,0,54,54,22,174.98145962506533,,,,,,,,174.9681954580592,174.98145962506533,175.96831262507476,175.9763105000602,177.29445391602349,l,1.3221043340163305,None,muskan_final,001,2023-11-23_14h57.08.258,experiment,2023.2.2,119.99700097411905,2023-11-23 14h59.41.885205 +0530,
58,129,135,0,55,55,21,177.30978887504898,,,,,,,,177.29515700007323,177.30978887504898,178.29321154102217,178.29932666604873,179.2943198750727,l,0.9895128749776632,None,muskan_final,001,2023-11-23_14h57.08.258,experiment,2023.2.2,119.99700097411905,2023-11-23 14h59.41.885205 +0530,
81,141,112,0,56,56,15,179.309519500006,,,,,,,,179.29503787506837,179.309519500006,180.29313358303625,180.29963512497488,181.66131425008643,l,1.3522845830302685,None,muskan_final,001,2023-11-23_14h57.08.258,experiment,2023.2.2,119.99700097411905,2023-11-23 14h59.41.885205 +0530,
73,132,95,0,57,57,63,181.6762216250645,,,,,,,,181.6620273750741,181.6762216250645,182.65999333304353,182.6665963330306,183.76081029104535,l,1.0839240830391645,None,muskan_final,001,2023-11-23_14h57.08.258,experiment,2023.2.2,119.99700097411905,2023-11-23 14h59.41.885205 +0530,
57,121,60,0,58,58,19,183.77560379100032,,,,,,,,183.76140645798296,183.77560379100032,184.75290116597898,184.76670945808291,185.97858470806386,l,1.2169138749595731,None,muskan_final,001,2023-11-23_14h57.08.258,experiment,2023.2.2,119.99700097411905,2023-11-23 14h59.41.885205 +0530,
94,111,133,0,59,59,74,185.9932291660225,,,,,,,,185.97928362502716,185.9932291660225,186.97686154104304,186.98297887505032,188.11122241604608,l,1.1188906249590218,None,muskan_final,001,2023-11-23_14h57.08.258,experiment,2023.2.2,119.99700097411905,2023-11-23 14h59.41.885205 +0530,
78,80,162,0,60,60,6,188.12560937507078,,,,,,,,188.1118335829815,188.12560937507078,189.11001462501008,189.1165780830197,191.8615641250508,t,2.7380412090569735,None,muskan_final,001,2023-11-23_14h57.08.258,experiment,2023.2.2,119.99700097411905,2023-11-23 14h59.41.885205 +0530,
82,92,137,0,61,61,91,191.8765124999918,,,,,,,,191.8622674579965,191.8765124999918,192.86029883299489,192.86652162508108,195.1115653750021,t,2.2359539590543136,None,muskan_final,001,2023-11-23_14h57.08.258,experiment,2023.2.2,119.99700097411905,2023-11-23 14h59.41.885205 +0530,
